#;Mbps;origen
270;10;Calle Misiones, 9, Las Palmas de Gran Canaria, 35008, Spain
271;200;Calle Muelle 6, Palma, 07012
272;6;Calle Nicolas Redondo Urbieta 410
273;10;Calle Orba, 6, Alicante, Spain 3008 Alicante
274;20;Calle Pablo Picasso 12 Motril
275;20;Calle Padre Feijóo 3 Ceuta
276;20;Calle Patrón Veneno 10 Torre del Mar
277;20;Calle Pedro Poggio 14 Los Llanos
278;20;Calle Pintor el Greco 12 Linares
279;30;Calle Prof. Agustín Millares Carlo 10
280;10;Calle Real 18
281;100;Calle Real 26, 26. 11639 Algar, Algar, 11639, Spain
282;2;Calle Rio Guadiana 45
283;2;Calle Rio Jarama 180
284;50;Calle Rio Jarama 180 Toledo
285;100;Calle Rio Jarama 75
286;50;Calle Río Jarama 75, Toledo, 45007
287;100;Calle Rio Odiel 12, Castalla, Alicante
288;20;Calle Romanceros 5 Palencia
289;20;Calle San Lucas 8 Teruel
290;20;Calle Santa Rosa 1 Arona
291;20;Calle Santa Teresa De Jesús 43
292;30;Calle Santa Teresa De Jesús 43. Arrecife
293;10;Calle Santa Teresa de Jesus no 43, Arrecife de Lanzarote, 35500, Spain
294;10;Calle Santiago Rusiñol 12
295;20;Calle Sevilla 2 Almuñécar
296;20;Calle Sta. María de la Cabeza 6 Cádiz
297;10;Calle Tabaza no s/n
298;20;Calle Tesoro 3 Cabanillas del Campo
299;2;Calle Trasona- Planta Aceralia no s/n
300;10;Calle Turismo 2 oficina 1, Rojales, 03170, Spain 
301;100;Calle Única S/N. 22451 Vilas de Turbón. Huesca
302;20;Calle Vertical Sexta 15 Carbajosa de la Sagrada
303;10;Camino de alovera nº 7 - Poligono Industrial la quinta  - 19171 Cabanillas del Campo  - Guadalajara 
304;10;Camino de la Magdalena s/n, Toledo 45210 Yuncos
305;1000;Camino de las Clarisas, 263. RADIOTELEVISIÓN DEL PRINCIPADO DE ASTURIAS, S.A.U. 
306;30;Camino de Valmojado, 3, Valmojado
307;30;Camino de Zurraquinillo. Toledo
308;2;Camino Del Sabinar S/N
309;4;Camino Melon 61
310;10;Camino Viejo de Llucmajor, 106 Coll d´en Rabassa 07007 Palma de Mallorca 
311;20;CANDELARIA, Pol. Ind. Güimar. Manzana E, Parcela 10 - Nave B, 38509,
312;2;Canizar del Olivar, AMAE Planta, C/ Masia la Mezquitilla s/n, 44707
313;100;Cantabria, Calle Alejandro de Calonge, 3, 39200 Reinosa
314;300;Caravaca 
315;10;Carr. a Tamaraceite 44
316;10;Carre Germi de Corredors, 2C. Son Rossinyol, 7009, Spain
317;20;Carrer Cooperativa 73 Mataró
318;10;Carrer de Bèlgica, s/n, 07108 Port de Soller, Balearic Islands, Spain
319;2;Carrer de Can Magi 1, Begur, 17213, Spain
320;10;"Carrer de la Selva, 21 17164 Bonmatí, Girona ;  Coordenadas GPS 41.967069, 2.661801 "
321;20;Carrer de Miquel de Verí 51 Maó
322;20;Carrer de Montfullà 4 Salt
323;20;Carrer de Pons i Gallarza 3A Palma
324;500;Carrer de Porto Pi 8, Palma
325;500;Carrer de Ses Feixes 52, Eivissa, 07800
326;2;Carrer de Vilamaniscle 3.6, Figueres
327;100;Carrer del Castanyet, Girona
328;30;Carrer Del Gremi De Corredors 2 Son Rossinyol C
329;20;Carrer d'Esteve Molas 9 Olot
330;20;Carrer d'Olivella 8 Sitges
331;20;Carrer Dr. Subiró, 50 17709 Le Perthus, Girona
332;2;CARRER EL GORG NEGRE 10 08570 TORELLÓ 
333;200;Carrer Escola de Nins, 2
334;200;Carrer Garbí, 94, 08397 Pineda de Mar, Barcelona 
335;1000;Carrer General Prim, 15, 46740 Carcaixent, Valencia
336;20;Carrer Isabel II 10 Alcoi
337;20;Carrer l'Asil 33 Elx
338;1000;Carrer Lloc Nou,1 46725 Ròtova València
339;1000;Carrer Merc_ Rodoreda i Gurgui, 2, 17003 Girona
340;300;Carrer Mercè Rodoreda i Gurgui 2
341;20;Carrer Orient 37 Girona
342;20;Carrer Pablo Iglesias 63 Mataró
343;10000;Carrer Parc Bit-1 2, Palma, 07120
344;10000;Carrer Parc Bit-1 2, Palma, 07120, Spain
345;1000;Carrer Parc Bit-1 2, Palma, 07120, Spain 
346;20;Carrer Pirineus 34 Pineda de Mar
347;20;Carrer Ramon Llull 5 Lleida
348;20;Carrer Roís de Corella 6 Gandia
349;10;Carrer Sant Sebastià 2, 17493
350;20;Carrer Serra de Prades 4 Lleida
351;20;Carrer Son Valentí A 6
352;10;Carrer Son Valentí A 6. Palma
353;2;CARRER DE L'EMPORDÀ 78 17600 FIGUERES GIRONA 
354;2;Carretera a Villafer, Km 7. 24220 Valderas, León
355;300;Carretera As19 km6, Abono, 33492
356;100;Carretera Carmona a Lora del Rio s/n, Carretera Llerena Utrera Kim 142, Sevilla
357;100;Carretera Carmona a Lora del Rio s/n, Carretera Llerena Utrera Kim 142, Sevilla, 41410
358;2;Carretera Cm-4010 no 19 - Km 19
359;10;Carretera CM-4014 (Yepes a Ocana) km 8 45300 Ocaña
360;100;Carretera de Biescas, Senegüé, Sabiñánigo (Huesca), Spain
361;2;Carretera de Carrion Km 311
362;20;Carretera de Carrion Km 311 Ciudad Real
363;30;CARRETERA DE CORELLA KM. 3.5  ES-31500 TUDELA
364;10;Carretera de Logroño - Estella Km0  Viana La Rioja  31230 
365;10;Carretera de Ojen. Marbella
366;10;Carretera del Centro 142
367;10;Carretera del norte 112
368;2;Carretera Echauri
369;2;Carretera Madrid-Irun km 417
370;10;Carretera N-611 (Pol. Ind.) KM 3,500, 34190 Villamuriel De Cerrato 34190 Palencia
371;100;Carretera Nacional 400, 57.300, 45350 Noblejas, Toledo, Spain
372;10;Carretera Nacional 550 Porriño-Tuy, km 164,5  Salceda de Caselas
373;1000;Carretera nacional 611, Km. 3,5. 
374;2;Carretera Nacional III Km 343
375;20;Carretera Nacional N-110 KM 248, Parcela 69A. Pol. Vicolozano
376;10;Carretera Nnal. 301. Km 97800, Corral de Almaguer, Corral de Almaguer, TO, 45880, Spain 45880 Corral de Almaguer
377;2;Carretera Sevilla Malaga 6
378;10;Carretera Toledo Cuenca S/N km 57, Noblejas, Noblejas, 45350
379;100;Carretera Vilas del Turbon s/n. Partida Los Plans - 22450 Campo Huesca
380;2;Carretera Zafra 32
381;10;Carretera. A1 KM 23,2 - 28700 San Sebastián de los Reyes - Madrid
382;50;CARRRETERAS MEQUINENZA 12, CARRETERA DE LA
383;90;CARRRETERAS MEQUINENZA S/N FRAGA
384;50;CARRRETERAS MEQUINENZA S/N FRAGA. 
385;100;Cartabona 10 Santa Maria Del Aguila  04710 El Ejido
386;100;Cartabona 10, Santa María del Águila – postcode 04710 (engineers should use this address) or Autovia E15, Km. 417,5 – postcode 04700
387;10;Castro y Ayala 6 - La Cuesta - La Laguna 38320 Santa Cruz de Tenerife
388;10;"Centro de Carga Aérea 
Parcela 2.4 Naves 3-5 
Aeropuerto de Barajas 28042 Barajas"
389;10 Mbps;Centro de Negocios, 72A-Of.101
390;10;Chip 3, Poligono Industrial Ajimar Telde (Las Palmas de Gran Canaria)
391;500;CI. COVES DEL LLORITO 16, ESC 000,. 43007-TARRAGONA (TARRAGONA)
392;10;Coll De La Manya S/N, Granollers
393;20;Concepcion Aleixandre n4 Guadix
394;30;Conquistador 18
395;100;Consorcio de la Zona Franca de G. Canaria, Andrés Perdomo, s/n Módulo-25 35008 Las Palmas de Gran Canaria
396;10;Consorcio de la Zona Franca de G. Canaria, Andrés Perdomo, s/n Módulo-25. Las Palmas
397;2;CRO C/ Ricardo Castro, 5 - 1ºDcha Albacete
398;2;CRO Polígono Raposales, nave 14 Arnedo
399;10;Crta Torrejon - Ajlavir Km 3,5 Apartado 111 28850 Ajalvir
400;4;CRTA. C-66 KM. 22,8 na. 17463 Flaca
401;2;Crta. de Florida de Liebana km 3,9 DONINOS DE SALAMANCA SALAMANCA,
402;30;Crta. de Florida de Liebana km 3,9 DOÑINOS DE SALAMANCA SALAMANCA,
403;10;Crta. M-113 km 12 Poligono Sector 5 Modulo 1-2 - 28814 Daganzo de Arriba
404;5;CRTA. NACIONAL C35 KM 72,5 FOGARS DE LA SELVA BARCELONA
405;10;Crta. Tafalla 17 31132 Villatuerta
406;10;"Cruz Caridad 42;Bajo. Tacoronte"
407;20;Cruz de La Calzada (Pol Ind Pelagatos)
408;10;Ctra Alicante-Cartagena Km31, , 03177, 
409;50;Ctra C15 Km 2 Poligono Masia den Notari
410;10;Ctra Logrono a Vitoria Km 31, San asensio Sg vicasa Depositio, San Asensio
411;10;Ctra. a MazarrAn, 30393 Cartagena, Murcia, Espanha
412;2x1000;Ctra. A334 Baza-Huercal Overa, Km. 59
413;10;Ctra. Asteasu (cruce Alkiza) Asteasu
414;80;Ctra. de Cabo de Gata a San JosÃ©. km 4 - 04100 NIJAR-ALMERÃ 
415;10;Ctra. de Logrono, s/n
416;10;Ctra. Gral. Del Sur, Km 10 (El chorrillo) Pol. Ind. 9-4 El Molino SANTA CRUZ DE TENERIFE
417;10;Ctra. Mazarron - los Patojos, S/N Frente EstaciAn de Servicio, Cartagena, 30393
418;10;Ctra. N-320. Cuenca - Albacete Km. 71,300 
419;10;Ctra. Nacional 340, Km. 1040,6
